,1st Electrode,2nd Electrode,F+,F-,S+,S-,Real 1,Imaginary 1,Results
112,E6,E15,6,15,15,6,NaN,NaN,
,R12_C44_C46,R7_C39_C41,,,,,,,
113,E7,E15,7,15,15,7,NaN,NaN,
,R10_C42_C44,R7_C39_C41,,,,,,,
114,E8,E15,8,15,15,8,NaN,NaN,
,R8_C40_C42,R7_C39_C41,,,,,,,
115,E9,E15,9,15,15,9,NaN,NaN,
,R9_C38_C40,R7_C39_C41,,,,,,,
116,E10,E15,10,15,15,10,NaN,NaN,
,R4_C36_C38,R7_C39_C41,,,,,,,
117,E11,E15,11,15,15,11,NaN,NaN,
,R2_C29_C36,R7_C39_C41,,,,,,,
118,E12,E15,12,15,15,12,NaN,NaN,
,R1_C29_C33,R7_C39_C41,,,,,,,
119,E13,E15,13,15,15,13,NaN,NaN,
,R3_C33_C37,R7_C39_C41,,,,,,,
120,E14,E15,14,15,15,14,518.82666015625,-10294.0283203125,
,R5_C37_C39,R7_C39_C41,,,,,,,
